Left_X,Left_Y,Right_X,Right_Y,Norm_X,Norm_Y,Gaze_Direction
210,295,288,295,0.5,0.5625,CENTER
210,295,288,295,0.5142857142857142,0.5625,CENTER
210,295,288,295,0.5142857142857142,0.5625,CENTER
209,295,288,295,0.4857142857142857,0.5625,CENTER
209,295,287,295,0.5,0.5625,CENTER
208,295,286,296,0.5142857142857142,0.59375,CENTER
208,295,286,296,0.5142857142857142,0.59375,CENTER
208,295,286,296,0.5142857142857142,0.59375,CENTER
208,295,286,296,0.5142857142857142,0.59375,CENTER
209,295,287,296,0.5428571428571428,0.5588235294117647,CENTER
209,295,287,296,0.5277777777777778,0.5588235294117647,CENTER
208,295,287,296,0.5,0.5588235294117647,CENTER
208,295,286,296,0.5142857142857142,0.53125,CENTER
208,296,286,296,0.5142857142857142,0.5625,CENTER
208,296,286,296,0.5142857142857142,0.5625,CENTER
208,296,286,296,0.5142857142857142,0.5625,CENTER
208,296,286,296,0.5142857142857142,0.5625,CENTER
208,296,286,296,0.5142857142857142,0.5625,CENTER
208,296,286,296,0.5142857142857142,0.5625,CENTER
208,296,286,296,0.5142857142857142,0.5625,CENTER
208,296,286,296,0.5142857142857142,0.5625,CENTER
208,296,286,296,0.5142857142857142,0.5625,CENTER
208,295,286,296,0.5142857142857142,0.53125,CENTER
208,295,286,296,0.5142857142857142,0.53125,CENTER
208,295,286,296,0.5142857142857142,0.5588235294117647,CENTER
207,295,285,296,0.4722222222222222,0.5588235294117647,CENTER
206,295,284,296,0.4444444444444444,0.59375,CENTER
205,295,284,296,0.4166666666666667,0.59375,CENTER
204,295,283,296,0.3888888888888889,0.59375,CENTER
204,295,283,296,0.4,0.59375,CENTER
203,295,282,296,0.37142857142857144,0.59375,CENTER
203,295,282,296,0.37142857142857144,0.59375,CENTER
202,294,281,295,0.34285714285714286,0.53125,CENTER
201,294,281,295,0.3142857142857143,0.53125,CENTER
201,294,280,295,0.3142857142857143,0.53125,CENTER
200,294,280,295,0.2857142857142857,0.5666666666666667,LEFT
200,294,280,295,0.2857142857142857,0.5666666666666667,LEFT
200,294,280,295,0.2857142857142857,0.5666666666666667,LEFT
200,294,280,295,0.2857142857142857,0.5666666666666667,LEFT
200,294,279,295,0.2857142857142857,0.5666666666666667,LEFT
200,294,279,295,0.2857142857142857,0.5666666666666667,LEFT
200,294,279,295,0.2857142857142857,0.5666666666666667,LEFT
200,293,280,295,0.2857142857142857,0.5333333333333333,LEFT
200,293,279,295,0.3055555555555556,0.5333333333333333,CENTER
200,293,279,295,0.3055555555555556,0.5333333333333333,CENTER
200,293,279,295,0.3055555555555556,0.5333333333333333,CENTER
200,293,279,295,0.3055555555555556,0.5333333333333333,CENTER
200,293,279,295,0.3055555555555556,0.5333333333333333,CENTER
200,293,279,294,0.3055555555555556,0.5,CENTER
200,293,279,294,0.3055555555555556,0.5,CENTER
199,293,279,294,0.2777777777777778,0.53125,LEFT
199,293,279,294,0.2777777777777778,0.53125,LEFT
199,293,279,294,0.2777777777777778,0.53125,LEFT
199,293,279,294,0.2777777777777778,0.53125,LEFT
199,293,279,294,0.2777777777777778,0.53125,LEFT
199,293,279,294,0.2777777777777778,0.53125,LEFT
199,293,279,294,0.2777777777777778,0.53125,LEFT
199,293,279,294,0.2777777777777778,0.53125,LEFT
199,293,279,294,0.2777777777777778,0.53125,LEFT
199,293,278,294,0.2857142857142857,0.53125,LEFT
199,293,278,294,0.2857142857142857,0.53125,LEFT
199,293,278,294,0.2857142857142857,0.53125,LEFT
199,293,278,294,0.2857142857142857,0.53125,LEFT
199,293,278,294,0.2857142857142857,0.53125,LEFT
199,293,278,294,0.2857142857142857,0.5666666666666667,LEFT
199,293,278,294,0.2857142857142857,0.5666666666666667,LEFT
200,293,279,294,0.3142857142857143,0.5666666666666667,CENTER
202,294,280,296,0.3333333333333333,0.6,CENTER
202,294,281,296,0.3333333333333333,0.6,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,281,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
201,293,280,296,0.3142857142857143,0.5666666666666667,CENTER
222,292,306,295,0.7222222222222222,0.5666666666666667,RIGHT
223,293,306,298,0.6666666666666666,0.6785714285714286,CENTER
225,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
225,293,308,298,0.6666666666666666,0.6785714285714286,CENTER
225,293,308,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,308,298,0.6944444444444444,0.6785714285714286,CENTER
226,293,309,298,0.6944444444444444,0.6785714285714286,CENTER
226,293,309,298,0.6944444444444444,0.6785714285714286,CENTER
226,293,309,298,0.6944444444444444,0.6785714285714286,CENTER
226,293,309,298,0.6944444444444444,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6666666666666666,0.6785714285714286,CENTER
226,293,309,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
226,293,308,298,0.6756756756756757,0.6785714285714286,CENTER
225,293,308,298,0.6486486486486487,0.7,CENTER
225,293,308,298,0.6666666666666666,0.7,CENTER
225,293,308,298,0.6666666666666666,0.7,CENTER
225,293,308,298,0.6666666666666666,0.7,CENTER
225,293,308,298,0.6666666666666666,0.7,CENTER
225,293,308,298,0.6666666666666666,0.7,CENTER
245,294,316,294,0.5151515151515151,0.5625,CENTER
245,295,317,294,0.5151515151515151,0.53125,CENTER
245,295,317,295,0.5151515151515151,0.5,CENTER
245,296,317,295,0.5151515151515151,0.53125,CENTER
245,296,317,296,0.5,0.5625,CENTER
246,296,318,296,0.5151515151515151,0.5333333333333333,CENTER
247,296,318,296,0.48484848484848486,0.5,CENTER
247,297,318,296,0.5,0.53125,CENTER
246,297,318,297,0.48484848484848486,0.5625,CENTER
246,297,318,297,0.48484848484848486,0.5625,CENTER
246,297,319,297,0.48484848484848486,0.5625,CENTER
246,297,319,297,0.48484848484848486,0.5625,CENTER
246,297,319,297,0.47058823529411764,0.5333333333333333,CENTER
246,297,319,297,0.48484848484848486,0.5,CENTER
246,297,319,297,0.48484848484848486,0.5,CENTER
247,298,319,298,0.5151515151515151,0.5625,CENTER
246,298,319,298,0.48484848484848486,0.5625,CENTER
239,296,314,296,0.29411764705882354,0.5,LEFT
